Subject,TspanAccErrorTotal,TspanMathErrorTotal,TspanAbsoluteScore,TspanPartialScore,TspanPartialScoreBlock1,TSpanPartialScoreBlock2,TspanPartialScoreBlock3,TspanSpeedErrorTotal,SspanAccErrorTotal,SspanSpeedErrorTotal,SspanAbsoluteScore,SspanPartialScore,SspanPartialScoreBlock1,SspanPartialScoreBlock2,SspanPartialScoreBlock3,SymmErrorTotal,OspanAccErrorTotal,OspanMathErrorTotal,OspanAbsoluteScore,OspanPartialScore,OspanPartialScoreBlock1,OspanPartialScoreBlock2,OspanPartialScoreBlock3,OspanSpeedErrorTotal,NumberSeriesTotalScore,RavensScore_A[Block],RavensScore_B[Block],RavensScore_C[Block],RavensScore_Total[Block],BeatPerception,MelodicMemory,V1,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,instrument,Age,Gender,FamilyIncome,MotherEd,FatherEd,i.V1,i.ACTIVE,i.PERCEPTUAL,i.MUSICAL,i.SINGING,i.EMOTIONS,i.GENERAL,i.instrument,i.Age,i.Gender,i.FamilyIncome,i.MotherEd,i.FatherEd,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,Experiment
501,2,2,41,57,17,19,21,0,1,0,22,29,10,12,7,1,1,2,49,64,18,23,23,1,13,11,9,11,31,15,7,13,60,53,40,47,37,105,voice,19,FEMALE,7,8,8,13,60,53,40,47,37,105,voice,19,FEMALE,7,8,8,7,7,6,7,6,6,7,7,7,7,5,6,6,5,6,6,7,5,6,7,6,6,4,6,5,7,7,7,7,7,6,6,6,6,7,6,6,6,2
501,2,2,41,57,17,19,21,0,1,0,22,29,10,12,7,1,1,2,49,64,18,23,23,1,13,11,9,11,31,15,7,14,46,54,33,37,38,105,PercussionnPercussion,19,Male,3,8,4,13,60,53,40,47,37,105,voice,19,FEMALE,7,8,8,7,7,6,7,6,6,7,7,7,7,5,6,6,5,6,6,7,5,6,7,6,6,4,6,5,7,7,7,7,7,6,6,6,6,7,6,6,6,2
501,2,2,41,57,17,19,21,0,1,0,22,29,10,12,7,1,1,2,49,64,18,23,23,1,13,11,9,11,31,15,7,13,60,53,40,47,37,105,voice,19,FEMALE,7,8,8,14,46,54,33,37,38,105,PercussionnPercussion,19,Male,3,8,4,7,4,6,7,2,7,6,5,2,6,6,5,6,6,6,7,6,6,7,7,5,7,1,1,5,6,6,5,6,3,7,4,6,6,7,6,6,7,2
501,2,2,41,57,17,19,21,0,1,0,22,29,10,12,7,1,1,2,49,64,18,23,23,1,13,11,9,11,31,15,7,14,46,54,33,37,38,105,PercussionnPercussion,19,Male,3,8,4,14,46,54,33,37,38,105,PercussionnPercussion,19,Male,3,8,4,7,4,6,7,2,7,6,5,2,6,6,5,6,6,6,7,6,6,7,7,5,7,1,1,5,6,6,5,6,3,7,4,6,6,7,6,6,7,2
503,0,4,46,64,25,18,21,4,4,1,10,26,11,7,8,5,1,3,27,50,12,21,17,2,9,10,10,8,28,15,10,15,48,49,34,36,34,90,French Horn,18,FEMALE,2,6,2,15,48,49,34,36,34,90,French Horn,18,FEMALE,2,6,2,6,5,7,6,4,7,7,3,3,6,6,6,5,6,6,6,3,5,6,7,5,5,3,5,3,6,4,6,6,4,5,5,6,5,5,5,6,7,2
504,9,12,62,73,24,25,24,3,2,1,11,25,10,7,8,3,12,12,38,63,22,23,18,0,4,9,9,7,25,12,10,16,38,50,37,29,38,89,Voice,19,FEMALE,2,2,3,16,38,50,37,29,38,89,Voice,19,FEMALE,2,2,3,2,1,5,6,4,6,5,3,6,6,6,5,7,6,6,6,3,5,7,7,6,5,3,6,3,1,7,6,2,5,6,2,3,7,7,7,7,7,2
505,1,1,3,15,4,9,2,0,0,0,3,14,3,3,8,0,4,7,21,26,15,10,1,3,8,8,7,10,25,9,5,17,44,51,35,25,34,97,violanviola,17,FEMALE,3,4,1,17,44,51,35,25,34,97,violanviola,17,FEMALE,3,4,1,6,4,6,6,4,6,6,3,3,6,6,3,6,6,6,6,6,6,6,6,6,5,3,6,3,3,5,6,2,2,5,2,5,6,6,6,5,6,2
506,6,6,51,59,16,25,18,0,1,0,28,36,14,9,13,1,6,9,43,64,21,21,22,3,11,9,10,9,28,15,8,18,39,51,33,25,37,77,Horn,18,MALE,8,8,5,18,39,51,33,25,37,77,Horn,18,MALE,8,8,5,5,2,5,6,3,5,5,5,3,5,7,5,6,5,7,5,5,6,6,7,6,4,3,5,2,1,3,6,3,6,3,3,7,7,7,3,6,7,2
507,2,2,62,71,25,25,21,0,1,0,23,32,13,10,9,1,3,8,60,68,25,20,23,5,14,9,9,10,28,7,6,19,59,61,44,43,41,105,Voice,21,MALE,3,6,6,19,59,61,44,43,41,105,Voice,21,MALE,3,6,6,7,5,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,6,7,7,7,7,3,6,7,1,7,7,7,7,7,7,7,7,7,6,7,7,2
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,48,49,35,34,31,98,violanviola,18,FEMALE,1,8,9,20,48,49,35,34,31,98,violanviola,18,FEMALE,1,8,9,6,5,6,6,6,6,5,4,4,4,5,6,6,5,6,6,5,6,6,7,6,4,3,4,5,6,6,5,6,1,6,4,6,4,6,4,6,5,2
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,49,59,34,37,37,100,Trumpet,18,FEMALE,5,7,7,20,48,49,35,34,31,98,violanviola,18,FEMALE,1,8,9,6,5,6,6,6,6,5,4,4,4,5,6,6,5,6,6,5,6,6,7,6,4,3,4,5,6,6,5,6,1,6,4,6,4,6,4,6,5,2
509,7,7,45,63,18,22,23,0,1,3,20,35,12,10,13,4,4,5,65,71,21,25,25,1,4,8,8,10,26,14,12,21,45,56,25,42,37,86,guitar,20,MALE,9,6,8,21,45,56,25,42,37,86,guitar,20,MALE,9,6,8,6,4,6,6,4,5,6,4,4,7,6,6,6,6,6,6,7,6,1,2,6,6,2,5,3,6,7,7,7,6,5,4,5,7,6,6,7,6,2
510,2,2,23,48,15,18,15,0,2,0,17,26,11,6,9,2,0,0,28,50,15,17,18,0,7,10,9,10,29,15,10,22,50,56,40,39,41,102,Bb Clarinet,19,FEMALE,4,8,8,22,50,56,40,39,41,102,Bb Clarinet,19,FEMALE,4,8,8,7,3,6,6,5,6,7,5,5,6,6,5,7,6,7,7,6,6,7,7,6,6,3,6,5,5,7,7,6,5,6,3,7,7,7,6,7,7,2
511,2,4,61,68,20,25,23,2,2,1,10,21,6,8,7,3,4,5,68,74,25,24,25,1,7,5,6,5,16,16,9,23,49,54,35,45,37,95,flute,18,FEMALE,5,8,4,23,49,54,35,45,37,95,flute,18,FEMALE,5,8,4,7,2,6,5,7,7,6,6,3,6,7,5,6,6,7,6,5,6,7,7,6,5,1,5,4,6,6,7,7,7,7,5,6,6,6,6,6,7,2
512,5,8,43,58,18,18,22,3,3,2,20,28,12,10,6,5,3,4,57,67,24,18,25,1,9,9,9,9,27,13,4,24,36,54,34,31,32,93,Guitar,18,FEMALE,6,5,1,24,36,54,34,31,32,93,Guitar,18,FEMALE,6,5,1,7,1,5,6,5,6,3,2,1,7,6,6,6,6,7,6,7,3,7,7,5,5,1,2,7,3,7,7,6,4,3,1,2,7,7,3,7,6,2
513,4,4,69,73,23,25,25,0,0,1,30,39,12,13,14,1,5,5,52,66,25,18,23,0,6,8,5,6,19,16,10,25,45,60,43,46,38,103,Flute,18,FEMALE,5,6,6,25,45,60,43,46,38,103,Flute,18,FEMALE,5,6,6,7,4,5,5,1,7,4,6,6,7,7,7,7,6,7,7,7,5,7,7,7,7,3,7,5,7,7,7,7,7,4,7,6,5,7,6,7,7,2
514,5,6,56,63,16,22,25,1,0,0,33,38,12,12,14,0,8,10,38,58,14,20,24,2,9,7,8,7,22,14,9,26,46,48,34,31,34,96,Tuba,18,MALE,2,7,9,26,46,48,34,31,34,96,Tuba,18,MALE,2,7,9,6,4,6,5,5,5,6,6,3,5,7,4,5,4,7,6,5,5,2,6,6,6,2,6,6,4,7,6,3,1,6,4,6,4,6,5,6,7,2
515,3,5,43,62,20,23,19,2,0,1,32,35,10,14,11,1,2,2,75,75,25,25,25,0,9,9,9,12,30,16,9,27,55,62,40,45,42,104,Saxophone,18,MALE,5,8,8,27,55,62,40,45,42,104,Saxophone,18,MALE,5,8,8,7,4,7,7,5,7,6,7,5,7,7,7,7,7,7,7,6,7,7,7,7,4,5,7,3,7,7,7,7,6,7,4,7,7,7,7,7,7,2
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,48,49,35,34,31,98,violanviola,18,FEMALE,1,8,9,28,49,59,34,37,37,100,Trumpet,18,FEMALE,5,7,7,7,3,6,6,6,7,7,5,2,7,6,7,7,6,7,7,6,6,7,7,6,6,2,5,1,6,6,7,3,7,6,2,5,7,6,6,6,7,2
null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,49,59,34,37,37,100,Trumpet,18,FEMALE,5,7,7,28,49,59,34,37,37,100,Trumpet,18,FEMALE,5,7,7,7,3,6,6,6,7,7,5,2,7,6,7,7,6,7,7,6,6,7,7,6,6,2,5,1,6,6,7,3,7,6,2,5,7,6,6,6,7,2
517,1,1,55,68,23,20,25,0,1,0,28,36,11,13,12,1,2,2,75,75,25,25,25,0,13,10,8,9,27,12,10,29,39,48,27,30,36,84,voicenvoice,18,MAN,5,5,7,29,39,48,27,30,36,84,voicenvoice,18,MAN,5,5,7,5,2,5,6,3,7,1,7,3,7,5,6,5,3,7,7,3,5,6,6,3,4,2,4,2,3,6,7,2,6,5,1,7,6,6,6,5,6,2
518,2,2,39,65,18,23,24,0,1,1,28,34,12,14,8,2,2,2,42,59,19,23,17,0,5,8,7,7,22,10,8,30,54,46,38,40,38,96,Voice,21,FEMALE,1,2,6,30,54,46,38,40,38,96,Voice,21,FEMALE,1,2,6,7,4,7,6,5,7,6,5,7,4,6,3,6,4,6,6,5,6,6,6,7,5,5,7,2,6,7,6,6,6,7,2,7,7,6,5,6,7,2
519,1,2,52,66,17,25,24,1,1,0,23,32,9,12,11,1,2,4,55,62,21,20,21,2,7,4,1,3,8,11,11,31,44,62,35,46,39,97,voice,19,FEMALE,5,7,8,31,44,62,35,46,39,97,voice,19,FEMALE,5,7,8,7,2,5,5,4,6,7,5,3,7,7,7,7,6,7,7,7,7,7,7,6,4,2,6,3,6,7,7,7,7,7,5,5,7,6,7,7,7,2
520,5,7,48,67,21,22,24,2,2,0,19,30,13,11,6,2,2,3,55,68,22,25,21,1,8,9,9,6,24,12,6,32,55,55,32,38,39,104,Guitar,18,MALE,6,6,8,32,55,55,32,38,39,104,Guitar,18,MALE,6,6,8,7,5,5,7,6,7,7,7,4,5,6,5,7,6,6,7,6,7,6,7,3,5,1,3,7,4,7,7,4,5,6,5,7,6,6,6,7,7,2
521,5,6,22,60,20,19,21,1,0,0,25,33,12,12,9,0,7,8,40,62,22,23,17,1,8,9,8,10,27,16,10,33,44,58,32,28,38,94,Alto Saxophone,18,MALE,4,4,4,33,44,58,32,28,38,94,Alto Saxophone,18,MALE,4,4,4,7,4,3,6,4,6,6,2,6,6,7,7,6,6,7,7,7,5,7,6,2,5,1,6,5,2,7,5,6,1,5,2,7,7,6,5,6,7,2
522,2,3,63,69,25,19,25,1,0,0,38,41,13,14,14,0,2,3,51,68,22,22,24,1,13,11,11,11,33,14,8,34,45,42,30,20,39,86,Flute,19,MALE,4,6,8,34,45,42,30,20,39,86,Flute,19,MALE,4,6,8,6,3,5,4,5,7,5,7,3,6,5,6,6,5,7,3,1,3,7,6,3,5,2,4,3,2,5,3,1,1,6,2,7,7,6,5,7,7,2
523,5,5,43,61,18,20,23,0,4,0,20,31,7,12,12,4,5,8,49,64,20,22,22,3,12,8,9,6,23,13,9,35,44,56,40,43,34,97,Voice,18,MALE,5,8,6,35,44,56,40,43,34,97,Voice,18,MALE,5,8,6,7,2,6,6,3,7,4,6,3,6,7,6,6,6,6,6,7,6,7,7,7,6,6,5,2,5,7,7,6,7,5,6,6,5,6,6,6,5,2
524,2,2,26,50,10,19,21,0,3,4,11,17,4,6,7,7,4,5,43,59,23,18,18,1,8,4,1,5,10,10,10,36,37,49,35,39,30,84,Voice,19,Male,7,6,8,36,37,49,35,39,30,84,Voice,19,Male,7,6,8,5,2,6,3,2,6,5,6,2,6,6,5,6,5,6,6,6,3,6,7,6,4,3,6,3,5,7,6,7,6,6,2,5,6,4,3,6,6,2
525,2,3,49,68,20,24,24,1,3,0,32,39,13,12,14,3,3,7,38,51,19,14,18,4,7,10,9,9,28,13,4,37,57,62,41,45,40,104,Cello,17,FEMENINE,1,6,7,37,57,62,41,45,40,104,Cello,17,FEMENINE,1,6,7,7,5,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,6,7,7,6,6,7,6,2,6,7,7,5,7,7,6,6,7,7,6,7,7,2
526,11,11,19,57,17,18,22,0,2,0,22,35,12,11,12,2,7,7,42,60,20,20,20,0,10,8,8,9,25,12,8,38,51,49,34,36,37,97,clarinet,18,FEMALE,6,6,8,38,51,49,34,36,37,97,clarinet,18,FEMALE,6,6,8,7,5,6,6,4,6,6,7,4,5,7,6,6,5,7,6,5,2,6,7,6,6,1,6,2,5,7,5,6,3,6,4,6,7,6,5,6,7,2
527,8,9,29,49,17,10,22,1,0,1,19,28,8,12,8,1,3,3,43,59,18,17,24,0,5,10,8,6,24,13,8,39,50,53,35,31,37,101,Clarinet,19,FEMALE,3,5,5,39,50,53,35,31,37,101,Clarinet,19,FEMALE,3,5,5,7,4,5,7,6,5,3,7,6,7,7,5,6,5,5,6,6,6,7,7,5,6,2,5,3,5,6,4,4,1,6,5,5,6,7,6,6,7,2
528,2,3,44,64,23,18,23,1,0,4,33,40,14,12,14,4,3,6,45,59,17,20,22,3,13,6,9,7,22,8,9,40,46,53,35,33,35,97,Voice,20,MALE,5,2,5,40,46,53,35,33,35,97,Voice,20,MALE,5,2,5,7,4,6,6,3,7,6,4,3,6,7,5,5,5,6,6,7,6,7,6,4,6,2,7,3,6,7,6,3,5,3,3,6,6,6,5,6,6,2
529,6,8,28,57,18,17,22,2,0,0,24,31,13,12,6,0,1,1,61,70,22,23,25,0,10,8,10,10,28,14,10,41,52,55,30,32,36,97,drums,21,MALE,9,2,7,41,52,55,30,32,36,97,drums,21,MALE,9,2,7,7,4,7,6,6,7,5,6,4,6,7,5,6,6,7,6,6,6,6,6,6,5,1,2,4,5,6,6,5,3,5,2,6,6,7,4,6,7,2
530,2,2,56,69,21,23,25,0,3,1,21,32,11,9,12,4,4,5,34,51,17,20,14,1,12,10,10,12,32,16,9,42,36,56,38,29,34,103,PERCUSSION,18,MALE,3,6,2,42,36,56,38,29,34,103,PERCUSSION,18,MALE,3,6,2,6,2,4,6,5,5,3,3,2,5,7,6,6,6,7,6,7,6,7,6,6,5,1,6,7,5,7,6,2,2,5,2,7,6,6,5,5,5,2
531,5,7,66,70,23,22,25,2,1,2,28,37,11,13,13,3,5,7,54,65,20,22,23,2,6,6,8,7,21,16,6,43,36,49,36,23,24,81,Percussion,19,MALE,4,5,4,43,36,49,36,23,24,81,Percussion,19,MALE,4,5,4,6,5,6,2,1,2,5,7,2,7,7,5,6,3,7,5,3,6,6,7,6,6,1,6,4,3,5,5,5,2,2,1,4,2,2,4,5,7,2
532,5,5,22,47,12,13,22,0,0,0,11,22,6,9,7,0,6,6,50,61,19,25,17,0,7,2,1,2,5,16,10,44,49,59,38,45,38,101,voice,20,FEMALE,3,3,6,44,49,59,38,45,38,101,voice,20,FEMALE,3,3,6,7,6,7,6,3,6,6,3,5,7,6,7,7,6,6,7,7,6,6,7,7,4,3,7,4,6,7,7,7,7,6,5,7,7,6,6,6,6,2
533,5,9,51,64,20,20,24,4,1,0,36,38,14,12,12,1,3,8,54,70,24,23,23,5,12,11,12,11,34,13,10,45,48,49,32,29,36,88,piano,19,male,6,6,6,45,48,49,32,29,36,88,piano,19,male,6,6,6,6,1,5,7,7,6,7,7,2,6,6,6,4,6,6,5,5,5,6,7,6,6,3,1,3,2,5,5,5,2,5,5,6,7,6,5,5,7,2
534,2,7,42,63,19,22,22,5,0,0,33,39,11,14,14,0,1,1,62,72,23,25,24,0,8,12,11,10,33,12,8,46,37,46,25,30,30,85,voice,18,FEMALE,6,6,6,46,37,46,25,30,30,85,voice,18,FEMALE,6,6,6,6,2,6,5,2,6,3,5,2,5,5,5,5,6,6,5,6,3,5,6,3,2,2,4,3,4,6,7,3,3,5,2,2,6,6,4,6,6,2
535,3,3,18,44,17,12,15,0,1,0,13,21,8,5,8,1,0,0,35,52,15,14,23,0,9,7,8,6,21,14,11,47,55,56,29,38,39,90,Voice,18,FEMALE,1,6,3,47,55,56,29,38,39,90,Voice,18,FEMALE,1,6,3,6,5,7,7,5,7,7,5,6,6,6,6,6,6,7,7,6,6,6,7,6,2,2,4,2,2,6,6,7,5,7,5,6,7,7,5,7,7,2
536,4,5,49,69,22,22,25,1,2,1,28,35,12,13,10,3,3,5,55,63,25,20,18,2,9,10,10,7,27,15,10,48,46,59,39,36,39,105,voice,20,FEMALE,1,3,2,48,46,59,39,36,39,105,voice,20,FEMALE,1,3,2,6,3,6,6,2,6,6,5,6,7,7,6,6,6,7,7,7,6,6,6,7,4,3,7,6,6,7,6,2,3,6,6,7,7,6,6,6,7,2
537,6,7,32,50,19,16,15,1,10,0,0,15,6,3,6,10,1,1,34,52,21,15,16,0,5,9,7,6,22,12,11,49,56,57,38,44,41,101,Piano,18,FEMALE,3,6,6,49,56,57,38,44,41,101,Piano,18,FEMALE,3,6,6,7,5,7,6,7,7,6,5,6,6,5,7,6,7,7,7,6,6,7,7,7,5,2,7,3,5,7,6,6,6,7,7,7,7,7,6,7,7,2
538,4,5,17,52,14,19,19,1,1,1,22,28,11,10,7,2,8,22,21,45,18,16,11,14,4,7,6,7,20,15,7,50,60,52,29,25,42,93,pianonpianonpiano,22,male,8,5,7,50,60,52,29,25,42,93,pianonpianonpiano,22,male,8,5,7,7,6,7,7,7,7,7,7,5,6,7,3,5,6,7,6,6,6,6,6,1,7,1,6,2,2,2,7,2,4,5,3,7,7,7,7,7,7,2
539,7,10,57,66,17,24,25,3,2,1,24,37,13,13,11,3,4,4,64,72,25,24,23,0,6,7,6,5,18,10,9,51,46,45,34,36,31,93,voicen,19,FEMALE,4,8,6,51,46,45,34,36,31,93,voicen,19,FEMALE,4,8,6,7,5,5,5,4,5,4,5,6,5,5,3,4,3,7,7,6,5,4,7,7,5,3,6,2,5,5,7,3,6,6,4,5,4,4,6,5,7,2
540,2,3,48,67,21,23,23,1,2,0,37,40,12,14,14,2,5,6,33,49,21,16,12,1,10,8,7,5,20,15,6,52,55,53,34,36,32,94,Bass Guitar,18,MALE,4,8,8,52,55,53,34,36,32,94,Bass Guitar,18,MALE,4,8,8,6,7,4,6,7,7,6,5,7,6,6,6,6,4,7,6,6,6,6,2,6,6,2,6,6,6,6,5,5,6,6,2,6,6,6,2,6,6,2
541,0,1,31,57,19,19,19,1,3,3,30,37,14,11,12,6,1,1,69,73,25,23,25,0,8,7,9,7,23,12,7,53,54,55,33,13,40,89,Saxophone,5,MALE,9,2,5,53,54,55,33,13,40,89,Saxophone,5,MALE,9,2,5,7,4,7,7,7,7,7,5,3,6,6,6,6,6,7,6,6,6,6,6,6,5,2,6,2,1,5,1,2,1,2,1,7,7,7,5,7,7,2
542,3,4,68,74,24,25,25,1,1,2,28,39,14,13,12,3,1,1,63,71,21,25,25,0,11,9,6,8,23,16,11,54,53,51,41,34,37,90,guitar,19,MALE,4,3,5,54,53,51,41,34,37,90,guitar,19,MALE,4,3,5,6,5,6,6,7,6,6,7,4,6,5,5,6,5,7,7,4,6,7,7,7,6,5,5,4,4,7,2,6,6,5,4,7,6,6,4,7,7,2
543,3,6,7,30,10,11,9,3,0,0,13,26,8,12,6,0,5,5,42,67,21,22,24,0,11,9,8,7,24,10,10,55,54,61,34,41,41,101,Violinn,18,FEMALE,3,2,8,55,54,61,34,41,41,101,Violinn,18,FEMALE,3,2,8,7,7,7,5,6,7,6,3,6,6,7,7,6,7,7,7,7,7,7,6,5,4,1,7,4,7,7,6,6,7,6,2,7,7,7,7,6,7,2
544,1,1,30,52,14,21,17,0,5,1,16,25,11,7,7,6,4,6,55,67,19,23,25,2,8,8,7,9,24,13,9,56,51,49,38,32,37,94,Sax,19,MALE,5,5,5,56,51,49,38,32,37,94,Sax,19,MALE,5,5,5,7,2,6,7,5,6,5,7,6,6,6,5,4,7,6,5,4,6,7,7,6,5,2,6,5,7,5,5,4,4,4,3,6,6,7,5,6,7,2
